time,location,actual,prediction,baseline,raw_prediction,PE,APE,PE_baseline,APE_baseline,PE_raw,APE_raw,diff_pred,diff_baseline,diff_raw,date,week
2023-03-03 02:00:00,stavanger,5.16238089502402,5.680727331062141,4.855843999999999,5.936952,-10.040840584578941,10.040840584578941,5.937897672748037,5.937897672748037,-15.00414701727662,15.00414701727662,-0.5183464360381214,0.3065368950240206,-0.7745712190812046,2023-03-03,09
2023-03-03 02:00:00,tromsø,1.5385118256183477,1.7376928962116462,1.777968,1.6062297,-12.946346415845401,12.946346415845401,-15.56414259509587,15.56414259509587,-4.401515552188773,4.401515552188773,-0.1991810705932986,-0.23945617438165234,-0.06771783727685499,2023-03-03,09
2023-03-03 02:00:00,trondheim,2.867971834365554,2.8063327607868738,3.156016208333333,2.9352088,2.149221719686647,2.149221719686647,-10.04348684726535,10.04348684726535,-2.344408068573455,2.344408068573455,0.06163907357868004,-0.28804437396777915,-0.06723696308928018,2023-03-03,09
2023-03-03 03:00:00,bergen,2.393458276742836,2.633134164737901,3.079326645833333,3.0966866,-10.013790101293543,10.013790101293543,-28.655956769961684,28.655956769961684,-29.381265248247978,29.381265248247978,-0.23967588799506512,-0.685868369090497,-0.7032283248959579,2023-03-03,09
2023-03-03 03:00:00,oslo,10.353034634639723,10.465385327330191,10.337750999999995,11.424827,-1.085195758107087,1.085195758107087,0.1476246837675092,0.1476246837675092,-10.352442787967663,10.352442787967663,-0.11235069269046782,0.015283634639727595,-1.0717919873695543,2023-03-03,09
2023-03-03 03:00:00,stavanger,4.706204580013899,5.208820032745993,4.855807,5.6717615,-10.679847086685927,10.679847086685927,-3.1788337596165417,3.1788337596165417,-20.516679976959214,20.516679976959214,-0.5026154527320941,-0.1496024199861017,-0.9655569327424489,2023-03-03,09
2023-03-03 03:00:00,tromsø,1.369414752767145,1.501531484384893,1.756717,1.6062297,-9.647678422536549,9.647678422536549,-28.282318884782153,28.282318884782153,-17.29314728423447,17.29314728423447,-0.13211673161774806,-0.3873022472328551,-0.23681491012805767,2023-03-03,09
2023-03-03 03:00:00,trondheim,2.8312482312814677,2.7568175887945765,3.156536208333333,2.7584,2.6288985071860957,2.6288985071860957,-11.48920724992858,11.48920724992858,2.573008862228559,2.573008862228559,0.07443064248689124,-0.3252879770518651,0.07284826790256149,2023-03-03,09
2023-03-03 04:00:00,bergen,2.6500962818960376,2.987386578505915,3.140007645833333,3.232235,-12.727473296500749,12.727473296500749,-18.486549612710043,18.486549612710043,-21.966698980515904,21.966698980515904,-0.3372902966098774,-0.4899113639372952,-0.5821386729379467,2023-03-03,09
2023-03-03 04:00:00,oslo,10.509923213591678,10.601462066723602,10.534065999999996,11.345597,-0.8709754702445773,0.8709754702445773,-0.22971420359280498,0.22971420359280498,-7.951286004435194,7.951286004435194,-0.09153885313192411,-0.024142786408317463,-0.8356740535592007,2023-03-03,09
2023-03-03 04:00:00,stavanger,4.726225570754738,5.266788077609423,4.826632,5.2716355,-11.4375096736731,11.4375096736731,-2.124452752880941,2.124452752880941,-11.540074705687715,11.540074705687715,-0.5405625068546849,-0.100406429245262,-0.5454099616244124,2023-03-03,09
2023-03-03 04:00:00,tromsø,1.4514770608448768,1.5965439936769519,1.769675,1.6141573,-9.994435099624267,9.994435099624267,-21.92235397574292,21.92235397574292,-11.207911072968582,11.207911072968582,-0.14506693283207506,-0.3181979391551233,-0.16268025822403187,2023-03-03,09
2023-03-03 04:00:00,trondheim,2.750328271336951,2.7350723891001665,3.1911132083333333,2.7810402,0.5546931395708753,0.5546931395708753,-16.026630042315436,16.026630042315436,-1.1166638045905186,1.1166638045905186,0.015255882236784313,-0.44078493699638255,-0.030711920313439833,2023-03-03,09
2023-03-03 05:00:00,bergen,2.706043091805812,2.9717351675788795,3.2860886458333334,3.1755118,-9.818471722701366,9.818471722701366,-21.435192801768803,21.435192801768803,-17.348901302473887,17.348901302473887,-0.2656920757730674,-0.5800455540275213,-0.4694687451998032,2023-03-03,09
2023-03-03 05:00:00,oslo,11.237321466261214,11.560117359509857,11.090856999999998,13.152167,-2.8725341196102687,2.8725341196102687,1.3033752456131047,1.3033752456131047,-17.040055850848074,17.040055850848074,-0.32279589324864233,0.14646446626121623,-1.9148458539902506,2023-03-03,09
2023-03-03 05:00:00,stavanger,5.111625211848562,5.48545436884764,5.073911999999999,5.9400735,-7.313313114830014,7.313313114830014,0.7377929774887435,0.7377929774887435,-16.20714046823987,16.20714046823987,-0.37382915699907837,0.0377132118485628,-0.8284482782942604,2023-03-03,09
2023-03-03 05:00:00,tromsø,1.4294421191479998,1.5499366450572931,1.85517,1.5789512,-8.429479185985684,8.429479185985684,-29.7827995376091,29.7827995376091,-10.45926368302269,10.45926368302269,-0.12049452590929333,-0.4257278808520002,-0.14950912043787667,2023-03-03,09
2023-03-03 05:00:00,trondheim,3.0532912548482742,2.835005877366167,3.364661208333334,2.7283764,7.149182939409897,7.149182939409897,-10.197846438352066,10.197846438352066,10.641463233569421,10.641463233569421,0.2182853774821072,-0.3113699534850598,0.32491486629846955,2023-03-03,09
2023-03-03 06:00:00,bergen,2.8862328740843353,3.1565948058734525,3.439141645833333,3.0227256,-9.367294448646673,9.367294448646673,-19.156762322042685,19.156762322042685,-4.729095467799705,4.729095467799705,-0.27036193178911727,-0.5529087717489976,-0.13649270803846747,2023-03-03,09
